Name,cfc2020_10_01run002
622,1.0642,0.0637,1.3706,0.0067,73.0265,0.2694,2825.9996,94.0722,Non-spherical
623,1.1184,0.0261,1.4254,0.0057,54.1140,0.0926,1259.5152,94.2654,Spherical
624,1.0708,0.0376,1.4219,0.0077,84.4713,0.1963,3156.6620,94.3653,Spherical
625,1.0797,0.0265,1.4315,0.0054,84.1195,0.2410,2901.0579,94.3720,Spherical
626,1.2193,0.1959,1.3545,0.0226,86.2574,0.2164,2642.6542,94.4919,Non-spherical
627,1.2114,0.0107,1.4582,0.0025,78.6253,0.1164,3135.4822,94.6384,Spherical
628,0.9858,0.0420,1.4466,0.0105,87.1896,0.1815,2624.1560,94.6517,Spherical
629,2.2535,0.0812,1.3660,0.0029,79.8129,0.3731,2960.3945,94.7417,Non-spherical
630,1.4934,0.1518,1.3427,0.0011,43.9633,0.7730,3.1415,95.1180,Non-spherical
631,0.8404,0.0599,1.4286,0.0230,73.1606,0.2389,3229.5540,95.5044,Spherical
632,1.0312,0.0224,1.4417,0.0059,59.6757,0.1859,2184.3610,95.6243,Spherical
633,0.9774,0.4145,1.6354,0.2385,44.5617,0.9270,13.3178,95.7975,Non-spherical
634,0.9920,0.2385,1.3591,0.0263,97.0686,0.8728,960.9482,96.0539,Non-spherical
635,1.0046,0.0438,1.4431,0.0135,67.7519,0.1844,2797.3424,96.1105,Spherical
636,1.0893,0.0118,1.4297,0.0038,78.6367,0.2790,3424.1701,96.3870,Spherical
637,1.0604,0.0375,1.4275,0.0096,91.5680,0.1629,2187.1684,96.5368,Spherical
638,1.0476,0.0301,1.4347,0.0078,61.7831,0.2588,2637.0043,96.5502,Spherical
639,1.4580,0.0629,1.4068,0.0049,72.5841,0.1754,3350.6702,96.6101,Spherical
640,1.2193,0.3097,1.3476,0.2412,44.6241,1.8011,10.8352,96.6834,Non-spherical
641,1.0952,0.0572,1.4235,0.0155,67.4412,0.1390,3018.1102,96.6834,Spherical
642,2.3077,0.0395,1.3941,0.0029,79.8364,0.5593,3103.0422,96.8366,Non-spherical
643,2.2519,0.0891,1.3663,0.0026,64.4532,0.4131,2760.0055,96.9632,Non-spherical
644,1.0728,0.0166,1.4299,0.0035,52.1202,0.1259,621.2686,97.2662,Spherical
645,1.1550,0.0287,1.4254,0.0051,78.0570,0.1688,3001.8437,97.2030,Spherical
646,1.1224,0.0254,1.4259,0.0048,79.6251,0.2130,2939.7437,97.2696,Spherical
647,0.9028,0.0537,1.3995,0.0118,89.2627,0.4029,2735.0390,97.6159,Spherical
648,1.0372,0.3511,1.3617,0.3323,43.9414,2.2140,,97.9757,Non-spherical
649,1.0561,0.0179,1.4273,0.0038,78.5831,0.2593,3215.7442,98.2354,Spherical
650,1.4903,0.2193,1.3422,0.0022,40.2346,2.2663,123.4911,98.3620,Non-spherical
651,1.0483,0.0413,1.4346,0.0095,73.4714,0.1684,3991.7670,98.3853,Spherical
652,1.1074,0.0254,1.4288,0.0076,58.6054,0.2438,2357.1937,98.4619,Spherical
653,2.0278,0.0413,1.3959,0.0032,77.5712,0.4877,3485.4188,98.6085,Non-spherical
654,1.0803,0.0292,1.4269,0.0073,71.5281,0.2362,3660.7311,98.6085,Spherical
655,1.4741,0.2944,1.3427,0.0008,40.5869,5.7009,741.1414,98.7683,Non-spherical
656,0.5041,0.0731,1.5626,0.0546,64.5927,0.6279,741.1414,98.8483,Non-spherical
657,1.1514,0.1293,1.3606,0.0228,65.9801,0.3303,2963.6811,99.1014,Non-spherical
658,1.0290,0.0138,1.4365,0.0042,65.3717,0.1170,3361.4737,99.5077,Spherical
659,2.1582,0.0358,1.3700,0.0016,76.1611,0.3039,3855.7066,99.6076,Non-spherical
660,1.0468,0.0348,1.4207,0.0087,89.0181,0.2153,2521.2016,99.8574,Spherical
661,1.0056,0.0078,1.4417,0.0063,76.3557,0.1702,3569.4785,99.9007,Spherical
662,1.1247,0.0231,1.4216,0.0053,62.6722,0.2006,2677.0317,99.9140,Spherical
663,1.0414,0.0308,1.4459,0.0063,58.8797,0.1728,2021.3073,100.1405,Spherical
664,3.4193,0.0535,1.3653,0.0014,76.6573,0.2820,3176.8018,100.2538,Non-spherical
665,1.1166,0.0319,1.4205,0.0074,90.5018,0.3702,1979.5678,100.3470,Spherical
666,0.9671,0.0172,1.4590,0.0045,70.7965,0.1534,3089.8039,100.3603,Spherical
667,3.0853,0.1655,1.3539,0.0034,81.2068,0.5385,2993.8545,100.5735,Non-spherical
668,1.0985,0.0577,1.4288,0.0106,91.0043,0.2067,2331.9872,100.6068,Spherical
669,1.0544,0.0387,1.4312,0.0143,84.3340,0.1870,3326.3923,100.7667,Spherical
670,1.1189,0.0296,1.4204,0.0041,97.9462,0.1921,887.2046,101.1597,Spherical
671,1.9444,0.0947,1.3836,0.0098,70.6992,0.2003,3573.3849,101.5993,Non-spherical
672,0.6103,0.1190,1.3869,0.1592,99.2857,0.3414,,101.7059,Non-spherical
673,2.1564,0.0470,1.3787,0.0018,80.6264,0.3216,3464.4951,101.7259,Non-spherical
674,1.1343,0.0155,1.4205,0.0051,80.8500,0.1957,3094.1915,101.9723,Spherical
675,1.0283,0.0158,1.4465,0.0068,72.4289,0.1584,3411.7338,101.9923,Spherical
676,1.0149,0.0240,1.4394,0.0060,62.3469,0.2005,2497.3126,102.1322,Spherical
677,1.1771,0.0404,1.4107,0.0052,93.3330,0.3086,1654.9854,102.3121,Spherical
678,1.4189,0.0646,1.4119,0.0067,76.9159,0.3942,3019.0140,102.4453,Spherical
679,0.8382,0.0327,1.6082,0.0147,87.2745,0.2533,2663.2755,102.6784,Non-spherical
680,1.0621,0.0266,1.4354,0.0058,97.3460,0.3432,1759.6933,103.4378,Spherical
681,0.8915,0.0631,1.3911,0.0161,98.2342,0.4128,1184.9341,103.4578,Non-spherical
682,0.4776,0.0200,1.9395,0.0293,75.5513,0.2874,5204.1621,103.4578,Non-spherical
683,1.0168,0.0251,1.4379,0.0063,92.9236,0.2052,2376.9309,103.6976,Spherical
684,1.7790,0.0155,1.4022,0.0032,72.3600,0.4200,5204.9989,103.8142,Non-spherical
685,0.7806,0.2056,1.3702,0.0226,56.1762,2.4493,2344.3208,103.8574,Non-spherical
686,0.2727,0.0586,2.2128,0.2062,55.7120,3.4575,1938.8445,104.1639,Non-spherical
687,1.8285,0.0154,1.3860,0.0013,75.0216,0.1795,4233.8941,104.2271,Spherical
688,2.2508,0.0978,1.3628,0.0031,63.3557,0.5933,3628.0963,104.2704,Non-spherical
689,2.0643,0.0583,1.3731,0.0020,69.8479,0.4050,3846.4704,104.3037,Non-spherical
690,3.0230,0.1909,1.3739,0.0041,90.7499,0.6774,2015.0189,104.6301,Non-spherical
691,1.0957,0.0275,1.4234,0.0040,62.0091,0.1643,2646.4026,104.6834,Spherical
692,2.3588,0.1412,1.3729,0.0076,87.9693,0.2443,2883.5059,104.7833,Spherical
693,1.0713,0.0273,1.4362,0.0074,79.7715,0.2051,4104.9170,104.8167,Spherical
694,0.9900,0.0196,1.4444,0.0060,89.1103,0.1457,3171.9663,104.8233,Spherical
695,2.0943,0.0084,1.4172,0.0025,74.1611,0.3936,3668.7264,105.2097,Non-spherical
696,1.1468,0.0288,1.4181,0.0073,90.1124,0.1634,2392.7731,105.2230,Spherical
697,1.6172,0.0909,1.4077,0.0152,65.8890,0.2914,3015.2050,105.4162,Spherical
698,0.6952,0.0125,1.4987,0.0092,57.7191,0.1204,1789.7270,105.5294,Spherical
699,3.5967,0.0890,1.3670,0.0014,75.5069,3.2728,3086.4254,105.5827,Non-spherical
700,1.0835,0.0249,1.4287,0.0063,62.7871,0.2151,2758.9782,106.0223,Spherical
701,1.7059,0.0726,1.4510,0.0092,72.2009,0.2000,3640.0331,106.0556,Spherical
702,3.3652,0.1876,1.3583,0.0031,40.0247,2.2050,437.0790,106.5019,Non-spherical
703,1.0659,0.0266,1.4322,0.0042,64.2960,0.2186,2734.1994,106.4753,Spherical
704,1.0034,0.0498,1.4432,0.0102,77.7206,0.2349,2976.7381,106.5819,Spherical
705,1.8033,0.0251,1.3765,0.0027,87.4092,0.3207,2356.2475,106.8750,Spherical
706,1.0782,0.0348,1.4259,0.0083,90.6972,0.2300,2375.2341,107.2613,Spherical
707,1.0391,0.0262,1.4302,0.0065,83.8582,0.1619,2706.4212,107.5444,Spherical
708,1.0970,0.0104,1.4292,0.0033,60.5499,0.1775,2002.4057,107.9541,Spherical
709,1.7086,0.0980,1.3426,0.0005,41.3821,0.4196,,108.0540,Non-spherical
710,0.6505,0.1214,1.3757,0.0322,53.0309,0.9965,1004.0865,108.2338,Non-spherical
711,1.9240,0.1672,1.3698,0.0187,84.2696,0.4032,2717.8460,108.3071,Spherical
712,1.7637,0.0779,1.3800,0.0077,83.9880,0.3591,3014.5262,108.3770,Non-spherical
713,1.0450,0.0321,1.4324,0.0064,83.3902,0.2193,3016.4555,108.3970,Spherical
714,1.0289,0.0317,1.4475,0.0094,79.1041,0.2674,3065.7784,108.8933,Spherical
715,1.0797,0.0275,1.4291,0.0068,71.8458,0.1515,2955.0928,109.0132,Spherical
716,1.0962,0.0355,1.4196,0.0045,92.5793,0.2068,1865.7759,109.0465,Spherical
717,0.9952,0.0350,1.4369,0.0087,74.8982,0.2254,3515.4396,109.0665,Spherical
718,1.1081,0.0236,1.4259,0.0060,76.5341,0.2254,3344.9699,109.2796,Spherical
719,1.0379,0.0226,1.4238,0.0051,76.6116,0.3583,3321.6550,109.4595,Non-spherical
720,0.9532,0.0282,1.4610,0.0075,78.5426,0.1744,3251.7955,109.5860,Spherical
721,1.7521,0.0738,1.3768,0.0056,90.4828,0.1717,1987.9325,109.6393,Spherical
722,0.9796,0.0306,1.4544,0.0036,69.3773,0.2258,3016.6370,109.6593,Spherical
723,1.1099,0.0390,1.4301,0.0069,97.7533,0.0972,913.3234,109.8125,Spherical
724,2.5733,0.1696,1.3903,0.0075,73.6472,1.0899,2848.5571,109.9191,Non-spherical
725,1.8843,0.0223,1.3707,0.0017,69.9608,0.1416,2844.5484,109.9790,Non-spherical
726,1.0120,0.0153,1.4464,0.0056,87.2438,0.1881,2357.6369,110.0190,Spherical
727,3.5003,0.1600,1.3585,0.0036,79.3191,1.2606,2524.0663,110.0989,Non-spherical
728,1.6531,0.0596,1.3839,0.0055,93.2382,0.3550,1492.4466,110.5452,Spherical
729,1.0741,0.0378,1.4402,0.0128,82.2450,0.2251,2957.8141,110.6718,Spherical
730,0.7325,0.0443,1.4183,0.0409,52.6278,0.1579,769.9813,110.9116,Spherical
731,3.2837,0.0576,1.3514,0.0003,56.7976,0.3940,2534.9595,110.9782,Non-spherical
732,0.9736,0.0232,1.4525,0.0081,71.6534,0.1759,2957.6652,111.0115,Spherical
733,1.0776,0.0436,1.4258,0.0074,90.2777,0.2483,1851.2031,111.1714,Spherical
734,1.4087,0.0906,1.4308,0.0157,58.3811,0.3544,2267.5652,111.3446,Non-spherical
735,1.7319,0.0440,1.3801,0.0041,83.4633,0.2245,2740.0565,111.8775,Spherical
736,0.9882,0.0260,1.4553,0.0080,97.4151,0.2576,1002.7388,111.9574,Spherical
737,1.1731,0.1932,1.3467,0.0103,94.2980,5.5419,590.9615,111.9241,Non-spherical
738,0.4942,0.0579,1.4964,0.0297,66.3450,0.3650,2497.9374,112.2372,Non-spherical
739,2.3708,0.1327,1.3755,0.0093,55.8904,0.2711,2122.3346,112.6968,Non-spherical
740,1.1448,0.0264,1.4223,0.0054,77.6259,0.2258,3368.0522,113.1897,Spherical
741,0.6480,0.1218,1.4175,0.0432,52.4986,0.1696,,113.5494,Non-spherical
742,1.0290,0.0297,1.4295,0.0053,80.0972,0.3187,3607.7228,113.5761,Spherical
743,2.9977,0.0650,1.3706,0.0019,87.3899,0.6305,2495.8983,113.8492,Non-spherical
744,0.7955,0.2808,1.3602,0.2257,45.2062,1.0992,0.6380,114.0956,Non-spherical
745,1.8995,0.0179,1.3709,0.0008,77.0212,0.1850,3551.4110,114.5353,Non-spherical
746,1.6565,0.1308,1.3916,0.0172,87.0810,0.1211,2512.8203,114.7151,Spherical
747,1.1470,0.0249,1.4218,0.0062,86.3985,0.1643,2493.1356,114.8683,Spherical
748,0.2042,0.5085,2.2620,0.4267,47.4878,1.4825,11.6553,114.9283,Non-spherical
749,1.8108,0.0187,1.3747,0.0020,87.1444,0.3251,2301.1828,115.0082,Spherical
750,1.0652,0.0396,1.4295,0.0079,86.4926,0.2901,2472.7221,115.1081,Spherical
751,0.2246,0.0160,2.2742,0.3373,48.0107,1.4716,50.8968,115.1747,Non-spherical
752,1.1174,0.0360,1.4391,0.0070,65.6942,0.0645,2269.0677,115.4279,Spherical
753,1.5463,0.0666,1.3937,0.0059,83.8482,0.2006,3157.2736,115.5877,Spherical
754,1.0534,0.0419,1.4343,0.0097,78.4135,0.2411,3261.3913,115.7942,Spherical
755,1.0610,0.0364,1.4339,0.0090,63.6925,0.1726,2410.5577,116.0940,Spherical
756,2.4800,0.1338,1.3804,0.0083,79.6733,0.2829,2703.8027,116.0940,Non-spherical
757,0.9814,0.0256,1.4519,0.0075,78.5127,0.1910,2943.8392,116.1473,Spherical
758,1.8127,0.0205,1.3950,0.0012,65.3612,0.1860,2435.5415,116.3338,Spherical
759,1.8476,0.0261,1.3776,0.0022,67.2098,0.1980,2454.5888,116.4204,Spherical
760,1.1647,0.0363,1.4094,0.0042,73.8616,0.1716,3248.8216,116.5603,Spherical
761,1.6528,0.1294,1.3886,0.0208,62.3811,0.2043,2612.8366,116.7401,Spherical
762,1.6704,0.0370,1.3883,0.0035,73.8558,0.3229,3277.0269,116.8201,Spherical
763,0.5596,0.3150,1.4083,0.0533,99.6844,5.9242,584.7701,117.3263,Non-spherical
764,1.8505,0.3721,1.3435,0.0498,98.9355,0.3436,571.2650,117.4129,Non-spherical
765,1.0098,0.0263,1.4308,0.0083,61.1692,0.1837,1984.4136,117.5528,Spherical
766,0.9592,0.0095,1.4543,0.0046,73.7596,0.1975,3515.8734,117.6594,Spherical
767,2.1966,0.0289,1.3681,0.0013,80.4323,0.3377,3219.6577,117.7060,Non-spherical
768,1.7330,0.0268,1.3806,0.0029,75.0056,0.0920,3407.3027,117.9858,Spherical
769,1.0226,0.0399,1.4475,0.0098,66.6350,0.2434,2718.9773,118.1589,Spherical
770,0.1915,0.4157,2.8104,0.5230,45.8411,2.2961,30.4548,118.1989,Non-spherical
771,2.0133,0.0237,1.3811,0.0010,73.9139,0.1246,3116.6783,118.2922,Non-spherical
772,2.5201,0.1379,1.3639,0.0050,83.7340,0.7886,2553.9201,118.3455,Non-spherical
773,1.0757,0.0559,1.4305,0.0108,72.2821,0.2324,2847.3909,118.4787,Spherical
774,1.0321,0.0589,1.4392,0.0147,73.3955,0.1616,3253.7694,118.6918,Spherical
775,1.0311,0.0467,1.4301,0.0139,66.7198,0.1170,3177.9781,118.7118,Spherical
776,1.6374,0.1038,1.3461,0.0019,96.4421,0.2095,1234.4405,118.8450,Non-spherical
777,1.0503,0.0274,1.4419,0.0058,52.6845,0.1480,820.0839,118.9583,Spherical
778,1.0178,0.0316,1.4433,0.0088,73.3641,0.3222,3115.9155,119.1381,Spherical
779,2.0503,0.1591,1.3706,0.0130,55.1108,0.2781,1494.2299,119.1781,Non-spherical
780,1.1481,0.0944,1.3469,0.0015,57.0701,5.1979,1629.1335,119.2114,Non-spherical
781,1.8350,0.0442,1.3925,0.0046,83.4953,0.2612,3129.2274,119.7976,Spherical
782,1.3062,0.1589,1.3570,0.0092,58.9757,3.2832,2051.1627,119.9108,Spherical
783,1.0631,0.0315,1.4305,0.0048,59.8075,0.2625,2180.4270,120.0640,Spherical
784,1.9460,0.0494,1.4137,0.0060,56.9525,0.1730,1688.5809,120.1306,Spherical
785,1.0673,0.0103,1.4430,0.0033,64.5393,0.2214,2638.6885,120.2306,Spherical
786,1.0432,0.0249,1.4363,0.0062,76.8256,0.1999,2932.6008,120.3505,Spherical
787,1.1321,0.0418,1.4227,0.0056,67.5141,0.1543,2644.5996,120.4637,Spherical
788,1.0057,0.0683,1.4533,0.0154,65.3578,0.1999,2471.5975,120.6469,Spherical
789,2.6498,0.1136,1.3688,0.0030,58.3006,0.5728,2254.3667,120.9433,Non-spherical
790,1.3199,0.0322,1.3588,0.0014,63.0635,0.2063,2653.5321,121.0632,Non-spherical
791,1.1388,0.0333,1.4284,0.0070,62.6637,0.2072,2270.6147,121.3763,Spherical
792,2.7097,0.1744,1.3608,0.0053,87.0005,1.0051,2106.2469,121.4562,Non-spherical
793,0.5873,0.1180,1.3616,0.0127,57.1083,3.2875,1338.3852,121.7626,Spherical
794,2.2414,0.1318,1.3750,0.0051,65.0025,0.4715,2380.9850,121.8759,Non-spherical
795,1.0267,0.0226,1.4409,0.0063,60.7509,0.2151,2353.9525,122.0690,Spherical
796,1.8664,0.0310,1.3723,0.0010,69.2174,0.4029,2993.0656,122.3888,Spherical
797,1.8585,0.0188,1.3722,0.0010,83.7292,0.3095,2557.0935,122.5553,Non-spherical
798,1.0383,0.0522,1.3747,0.0069,67.0075,0.2516,2550.7580,122.8084,Non-spherical
799,0.9894,0.0259,1.4491,0.0053,75.1206,0.2103,2865.8436,122.8950,Spherical
800,4.0553,0.1111,1.3546,0.0011,77.3986,0.7949,3354.3270,123.1481,Non-spherical
801,1.7142,0.0394,1.3762,0.0037,57.8756,0.3038,2058.1042,123.1615,Non-spherical
802,1.7164,0.0449,1.4082,0.0046,85.5163,0.2313,2753.7333,123.2880,Spherical
803,1.3950,0.0483,1.4193,0.0119,74.4497,0.2428,3077.1843,123.5811,Spherical
804,0.9937,0.0296,1.4464,0.0119,68.1645,0.2307,4039.8085,123.8809,Spherical
805,1.0726,0.0435,1.4321,0.0079,77.8460,0.3397,4623.7045,124.1373,Spherical
806,1.0995,0.0228,1.4275,0.0048,65.6901,0.3265,3895.4568,124.1540,Spherical
807,1.8926,0.3884,1.4321,0.2487,65.3663,3.5162,3437.4696,124.6036,Non-spherical
808,0.9990,0.0498,1.4410,0.0162,62.6687,0.2723,2887.5885,124.6736,Spherical
809,2.9800,0.1621,1.3539,0.0036,72.6145,1.4035,3516.8435,124.6869,Non-spherical
810,0.7941,0.2017,1.3655,0.0128,56.0091,0.1777,1685.1046,124.7402,Non-spherical
811,1.0566,0.0263,1.4299,0.0056,62.9721,0.2579,2831.0128,124.7468,Spherical
812,0.4930,0.3331,1.4592,0.0599,90.2294,2.2193,2179.4997,124.9034,Non-spherical
813,1.0443,0.0210,1.4340,0.0069,57.0604,0.1538,1599.0232,125.0532,Spherical
814,1.0629,0.0646,1.4195,0.0119,86.0159,0.1705,3027.5770,125.1598,Non-spherical
815,1.0674,0.1026,1.4077,0.0331,96.0068,0.2142,1500.9341,125.2597,Spherical
816,1.0308,0.0120,1.4343,0.0031,67.3761,0.3297,3044.3300,125.5995,Spherical
817,0.7089,0.0688,1.3745,0.0056,54.8572,0.2131,1311.3019,125.6328,Non-spherical
818,1.0185,0.0561,1.4280,0.0173,86.1810,0.2610,2753.6412,125.7260,Spherical
819,1.1110,0.0298,1.4199,0.0083,89.5297,0.2198,2669.3659,125.8792,Spherical
820,1.1155,0.0294,1.4250,0.0072,79.9701,0.2573,3510.7281,125.9525,Spherical
821,2.1300,0.0984,1.3925,0.0061,87.4926,0.4693,2715.1404,125.9925,Non-spherical
822,1.1013,0.0095,1.4251,0.0016,81.9398,0.2282,3246.8937,126.0191,Spherical
823,1.1436,0.0104,1.4226,0.0033,87.1490,0.2298,3091.9728,126.2256,Non-spherical
824,1.1008,0.0298,1.4226,0.0045,62.9818,0.1576,3099.2148,126.2756,Spherical
825,0.9883,0.0855,1.4538,0.0134,93.3986,0.2487,2070.5741,126.3455,Spherical
826,0.6990,0.0773,1.3953,0.0142,53.8456,0.1764,1265.2357,126.4920,Non-spherical
827,1.9672,0.1219,1.3769,0.0141,62.2387,0.4052,2767.2239,126.6186,Non-spherical
828,3.4746,0.1377,1.3690,0.0040,81.5667,0.6668,2865.8592,126.9117,Non-spherical
829,1.0216,0.0269,1.4520,0.0104,73.9347,0.1581,3231.2163,126.9783,Spherical
