,Unnamed: 0,d_p,dd_p,n_p,dn_p,z_p,z uncertainty [μm],v [μm / s],timestamp [s],symmetry,label
566,566,1.0719,0.0283,1.4345,0.0062,60.0923,0.1196,2135.9117,84.9431,0,monomer
568,568,1.1178,0.0285,1.4223,0.0045,79.583,0.3246,3201.3408,85.6126,0,monomer
570,570,1.1127,0.0181,1.4261,0.0064,97.4567,0.1159,923.523,85.8057,0,monomer
571,571,1.7588,0.0313,1.377,0.0023,69.8458,0.169,3328.6896,85.7658,1,dimer
572,572,1.7596,0.1194,1.377,0.0163,92.0321,0.4148,1911.0594,85.9123,0,dimer
573,573,1.6514,0.0566,1.3859,0.0037,63.2794,0.091,2734.1587,85.9656,1,dimer
574,574,1.0944,0.0168,1.4287,0.0049,79.4758,0.1923,3082.3658,86.0056,0,monomer
575,575,1.0672,0.0579,1.4374,0.0105,84.9659,0.1698,2604.4859,86.1787,0,monomer
576,576,1.1711,0.0214,1.4199,0.003,94.2001,0.2221,1380.2671,86.4252,0,monomer
579,579,1.9043,0.0307,1.3885,0.0027,69.4649,0.3314,3230.1417,86.6517,0,dimer
580,580,0.9896,0.04,1.4467,0.0093,87.3207,0.1974,2592.9072,87.0647,0,monomer
581,581,1.5348,0.1315,1.3999,0.027,91.3057,0.3336,2124.9857,87.6708,0,dimer
582,582,1.676,0.0638,1.3826,0.0043,54.8019,0.2758,1469.5843,87.7574,0,dimer
583,583,1.7908,0.0754,1.3781,0.0067,78.7039,0.114,3235.85,87.8107,0,dimer
584,584,1.1209,0.0469,1.427,0.0098,70.1711,0.2666,3157.3551,87.8507,0,monomer
585,585,1.9774,0.0213,1.3676,0.001,81.1097,0.3031,3178.107,87.884,1,dimer
587,587,1.0754,0.0475,1.4212,0.0114,81.1383,0.2856,2962.7485,87.9906,0,monomer
588,588,1.06,0.0305,1.4271,0.0058,72.4132,0.234,2996.4138,88.0372,1,monomer
590,590,1.7805,0.0162,1.375,0.0008,74.7059,0.5307,3116.0607,88.1571,1,dimer
593,593,1.0637,0.0326,1.4398,0.0043,87.0316,0.2214,2270.4159,88.6034,0,monomer
594,594,1.1376,0.0431,1.4223,0.0081,76.1638,0.3029,3460.4257,88.8232,0,monomer
596,596,1.0718,0.0307,1.4329,0.0058,83.6663,0.2062,4649.0798,89.0397,0,monomer
597,597,1.0752,0.0297,1.4298,0.0058,67.2186,0.2378,3987.0372,89.2828,0,monomer
598,598,1.7898,0.0388,1.3762,0.0032,86.2173,0.2209,3479.9942,89.3561,0,dimer
599,599,0.9854,0.0484,1.4527,0.0107,85.1527,0.1747,3470.214,89.5093,0,monomer
601,601,1.0509,0.0279,1.4344,0.0103,83.9291,0.1956,3447.871,89.6326,0,monomer
602,602,1.8858,0.0444,1.3724,0.002,88.4587,0.2241,2684.7219,89.7758,0,dimer
603,603,1.034,0.0154,1.4449,0.0007,81.3048,0.245,4201.9103,89.879,0,monomer
605,605,1.5547,0.0315,1.3796,0.0024,72.6335,0.0979,3964.3269,90.1421,0,dimer
606,606,1.0314,0.0335,1.426,0.0083,81.8579,0.1596,3623.6391,90.1488,0,monomer
607,607,1.8046,0.1133,1.3904,0.01,85.0682,0.3339,3189.4098,90.1621,0,dimer
609,609,1.0692,0.0495,1.4314,0.0089,74.9721,0.2091,3173.8393,90.8349,0,monomer
610,610,1.0954,0.0275,1.4297,0.0063,74.1251,0.2534,3278.9473,90.9015,0,monomer
611,611,1.0979,0.0309,1.4331,0.0052,76.9757,0.1376,3396.1114,91.2812,0,monomer
612,612,1.0778,0.0366,1.4413,0.0089,56.8673,0.128,1655.6733,91.3878,0,monomer
613,613,1.0805,0.0409,1.4304,0.0098,65.1176,0.1498,2609.5423,91.6542,0,monomer
614,614,0.9866,0.0362,1.4551,0.0087,75.4416,0.1572,3114.0243,91.7208,0,monomer
616,616,1.9721,0.0419,1.3756,0.0024,74.6188,0.1338,3528.0831,92.1738,1,dimer
617,617,1.2875,0.0421,1.4143,0.0079,79.8426,0.2329,3196.5209,92.287,0,dimer
619,619,1.8456,0.1121,1.3758,0.0098,89.8444,0.1567,1874.3978,92.9665,0,dimer
622,622,1.0642,0.0637,1.3706,0.0067,73.0265,0.2694,2825.9996,94.0722,1,extra
623,623,1.1184,0.0261,1.4254,0.0057,54.114,0.0926,1259.5152,94.2654,0,monomer
624,624,1.0708,0.0376,1.4219,0.0077,84.4713,0.1963,3156.662,94.3653,0,monomer
625,625,1.0797,0.0265,1.4315,0.0054,84.1195,0.241,2901.0579,94.372,0,monomer
627,627,1.2114,0.0107,1.4582,0.0025,78.6253,0.1164,3135.4822,94.6384,0,dimer
628,628,0.9858,0.042,1.4466,0.0105,87.1896,0.1815,2624.156,94.6517,0,monomer
631,631,0.8404,0.0599,1.4286,0.023,73.1606,0.2389,3229.554,95.5044,0,extra
632,632,1.0312,0.0224,1.4417,0.0059,59.6757,0.1859,2184.361,95.6243,0,monomer
635,635,1.0046,0.0438,1.4431,0.0135,67.7519,0.1844,2797.3424,96.1105,0,monomer
636,636,1.0893,0.0118,1.4297,0.0038,78.6367,0.279,3424.1701,96.387,0,monomer
637,637,1.0604,0.0375,1.4275,0.0096,91.568,0.1629,2187.1684,96.5368,0,monomer
638,638,1.0476,0.0301,1.4347,0.0078,61.7831,0.2588,2637.0043,96.5502,0,monomer
639,639,1.458,0.0629,1.4068,0.0049,72.5841,0.1754,3350.6702,96.6101,0,dimer
641,641,1.0952,0.0572,1.4235,0.0155,67.4412,0.139,3018.1102,96.6834,0,monomer
644,644,1.0728,0.0166,1.4299,0.0035,52.1202,0.1259,621.2686,97.2662,0,monomer
645,645,1.155,0.0287,1.4254,0.0051,78.057,0.1688,3001.8437,97.203,0,monomer
646,646,1.1224,0.0254,1.4259,0.0048,79.6251,0.213,2939.7437,97.2696,0,monomer
647,647,0.9028,0.0537,1.3995,0.0118,89.2627,0.4029,2735.039,97.6159,0,extra
648,648,1.0372,0.3511,1.3617,0.3323,43.9414,2.214,,97.9757,1,extra
649,649,1.0561,0.0179,1.4273,0.0038,78.5831,0.2593,3215.7442,98.2354,0,monomer
651,651,1.0483,0.0413,1.4346,0.0095,73.4714,0.1684,3991.767,98.3853,0,monomer
652,652,1.1074,0.0254,1.4288,0.0076,58.6054,0.2438,2357.1937,98.4619,0,monomer
654,654,1.0803,0.0292,1.4269,0.0073,71.5281,0.2362,3660.7311,98.6085,0,monomer
657,657,1.1514,0.1293,1.3606,0.0228,65.9801,0.3303,2963.6811,99.1014,1,extra
658,658,1.029,0.0138,1.4365,0.0042,65.3717,0.117,3361.4737,99.5077,0,monomer
660,660,1.0468,0.0348,1.4207,0.0087,89.0181,0.2153,2521.2016,99.8574,0,monomer
661,661,1.0056,0.0078,1.4417,0.0063,76.3557,0.1702,3569.4785,99.9007,0,monomer
662,662,1.1247,0.0231,1.4216,0.0053,62.6722,0.2006,2677.0317,99.914,0,monomer
663,663,1.0414,0.0308,1.4459,0.0063,58.8797,0.1728,2021.3073,100.1405,0,monomer
665,665,1.1166,0.0319,1.4205,0.0074,90.5018,0.3702,1979.5678,100.347,0,monomer
666,666,0.9671,0.0172,1.459,0.0045,70.7965,0.1534,3089.8039,100.3603,0,monomer
668,668,1.0985,0.0577,1.4288,0.0106,91.0043,0.2067,2331.9872,100.6068,0,monomer
669,669,1.0544,0.0387,1.4312,0.0143,84.334,0.187,3326.3923,100.7667,0,monomer
670,670,1.1189,0.0296,1.4204,0.0041,97.9462,0.1921,887.2046,101.1597,0,monomer
671,671,1.9444,0.0947,1.3836,0.0098,70.6992,0.2003,3573.3849,101.5993,1,dimer
674,674,1.1343,0.0155,1.4205,0.0051,80.85,0.1957,3094.1915,101.9723,0,monomer
675,675,1.0283,0.0158,1.4465,0.0068,72.4289,0.1584,3411.7338,101.9923,0,monomer
676,676,1.0149,0.024,1.4394,0.006,62.3469,0.2005,2497.3126,102.1322,0,monomer
677,677,1.1771,0.0404,1.4107,0.0052,93.333,0.3086,1654.9854,102.3121,0,monomer
678,678,1.4189,0.0646,1.4119,0.0067,76.9159,0.3942,3019.014,102.4453,0,dimer
680,680,1.0621,0.0266,1.4354,0.0058,97.346,0.3432,1759.6933,103.4378,0,monomer
681,681,0.8915,0.0631,1.3911,0.0161,98.2342,0.4128,1184.9341,103.4578,1,extra
683,683,1.0168,0.0251,1.4379,0.0063,92.9236,0.2052,2376.9309,103.6976,0,monomer
684,684,1.779,0.0155,1.4022,0.0032,72.36,0.42,5204.9989,103.8142,1,dimer
685,685,0.7806,0.2056,1.3702,0.0226,56.1762,2.4493,2344.3208,103.8574,1,extra
687,687,1.8285,0.0154,1.386,0.0013,75.0216,0.1795,4233.8941,104.2271,0,dimer
691,691,1.0957,0.0275,1.4234,0.004,62.0091,0.1643,2646.4026,104.6834,0,monomer
693,693,1.0713,0.0273,1.4362,0.0074,79.7715,0.2051,4104.917,104.8167,0,monomer
694,694,0.99,0.0196,1.4444,0.006,89.1103,0.1457,3171.9663,104.8233,0,monomer
696,696,1.1468,0.0288,1.4181,0.0073,90.1124,0.1634,2392.7731,105.223,0,monomer
697,697,1.6172,0.0909,1.4077,0.0152,65.889,0.2914,3015.205,105.4162,0,dimer
700,700,1.0835,0.0249,1.4287,0.0063,62.7871,0.2151,2758.9782,106.0223,0,monomer
701,701,1.7059,0.0726,1.451,0.0092,72.2009,0.2,3640.0331,106.0556,0,dimer
703,703,1.0659,0.0266,1.4322,0.0042,64.296,0.2186,2734.1994,106.4753,0,monomer
704,704,1.0034,0.0498,1.4432,0.0102,77.7206,0.2349,2976.7381,106.5819,0,monomer
705,705,1.8033,0.0251,1.3765,0.0027,87.4092,0.3207,2356.2475,106.875,0,dimer
706,706,1.0782,0.0348,1.4259,0.0083,90.6972,0.23,2375.2341,107.2613,0,monomer
707,707,1.0391,0.0262,1.4302,0.0065,83.8582,0.1619,2706.4212,107.5444,0,monomer
708,708,1.097,0.0104,1.4292,0.0033,60.5499,0.1775,2002.4057,107.9541,0,monomer
711,711,1.924,0.1672,1.3698,0.0187,84.2696,0.4032,2717.846,108.3071,0,dimer
712,712,1.7637,0.0779,1.38,0.0077,83.988,0.3591,3014.5262,108.377,1,dimer
713,713,1.045,0.0321,1.4324,0.0064,83.3902,0.2193,3016.4555,108.397,0,monomer
714,714,1.0289,0.0317,1.4475,0.0094,79.1041,0.2674,3065.7784,108.8933,0,monomer
715,715,1.0797,0.0275,1.4291,0.0068,71.8458,0.1515,2955.0928,109.0132,0,monomer
716,716,1.0962,0.0355,1.4196,0.0045,92.5793,0.2068,1865.7759,109.0465,0,monomer
717,717,0.9952,0.035,1.4369,0.0087,74.8982,0.2254,3515.4396,109.0665,0,monomer
718,718,1.1081,0.0236,1.4259,0.006,76.5341,0.2254,3344.9699,109.2796,0,monomer
719,719,1.0379,0.0226,1.4238,0.0051,76.6116,0.3583,3321.655,109.4595,1,monomer
720,720,0.9532,0.0282,1.461,0.0075,78.5426,0.1744,3251.7955,109.586,0,monomer
721,721,1.7521,0.0738,1.3768,0.0056,90.4828,0.1717,1987.9325,109.6393,0,dimer
722,722,0.9796,0.0306,1.4544,0.0036,69.3773,0.2258,3016.637,109.6593,0,monomer
723,723,1.1099,0.039,1.4301,0.0069,97.7533,0.0972,913.3234,109.8125,0,monomer
725,725,1.8843,0.0223,1.3707,0.0017,69.9608,0.1416,2844.5484,109.979,1,dimer
726,726,1.012,0.0153,1.4464,0.0056,87.2438,0.1881,2357.6369,110.019,0,monomer
728,728,1.6531,0.0596,1.3839,0.0055,93.2382,0.355,1492.4466,110.5452,0,dimer
729,729,1.0741,0.0378,1.4402,0.0128,82.245,0.2251,2957.8141,110.6718,0,monomer
730,730,0.7325,0.0443,1.4183,0.0409,52.6278,0.1579,769.9813,110.9116,0,extra
732,732,0.9736,0.0232,1.4525,0.0081,71.6534,0.1759,2957.6652,111.0115,0,monomer
733,733,1.0776,0.0436,1.4258,0.0074,90.2777,0.2483,1851.2031,111.1714,0,monomer
734,734,1.4087,0.0906,1.4308,0.0157,58.3811,0.3544,2267.5652,111.3446,1,dimer
735,735,1.7319,0.044,1.3801,0.0041,83.4633,0.2245,2740.0565,111.8775,0,dimer
736,736,0.9882,0.026,1.4553,0.008,97.4151,0.2576,1002.7388,111.9574,0,monomer
740,740,1.1448,0.0264,1.4223,0.0054,77.6259,0.2258,3368.0522,113.1897,0,monomer
742,742,1.029,0.0297,1.4295,0.0053,80.0972,0.3187,3607.7228,113.5761,0,monomer
744,744,0.7955,0.2808,1.3602,0.2257,45.2062,1.0992,0.638,114.0956,1,extra
745,745,1.8995,0.0179,1.3709,0.0008,77.0212,0.185,3551.411,114.5353,1,dimer
746,746,1.6565,0.1308,1.3916,0.0172,87.081,0.1211,2512.8203,114.7151,0,dimer
747,747,1.147,0.0249,1.4218,0.0062,86.3985,0.1643,2493.1356,114.8683,0,monomer
749,749,1.8108,0.0187,1.3747,0.002,87.1444,0.3251,2301.1828,115.0082,0,dimer
750,750,1.0652,0.0396,1.4295,0.0079,86.4926,0.2901,2472.7221,115.1081,0,monomer
752,752,1.1174,0.036,1.4391,0.007,65.6942,0.0645,2269.0677,115.4279,0,monomer
753,753,1.5463,0.0666,1.3937,0.0059,83.8482,0.2006,3157.2736,115.5877,0,dimer
754,754,1.0534,0.0419,1.4343,0.0097,78.4135,0.2411,3261.3913,115.7942,0,monomer
755,755,1.061,0.0364,1.4339,0.009,63.6925,0.1726,2410.5577,116.094,0,monomer
757,757,0.9814,0.0256,1.4519,0.0075,78.5127,0.191,2943.8392,116.1473,0,monomer
758,758,1.8127,0.0205,1.395,0.0012,65.3612,0.186,2435.5415,116.3338,0,dimer
759,759,1.8476,0.0261,1.3776,0.0022,67.2098,0.198,2454.5888,116.4204,0,dimer
760,760,1.1647,0.0363,1.4094,0.0042,73.8616,0.1716,3248.8216,116.5603,0,monomer
761,761,1.6528,0.1294,1.3886,0.0208,62.3811,0.2043,2612.8366,116.7401,0,dimer
762,762,1.6704,0.037,1.3883,0.0035,73.8558,0.3229,3277.0269,116.8201,0,dimer
765,765,1.0098,0.0263,1.4308,0.0083,61.1692,0.1837,1984.4136,117.5528,0,monomer
766,766,0.9592,0.0095,1.4543,0.0046,73.7596,0.1975,3515.8734,117.6594,0,monomer
768,768,1.733,0.0268,1.3806,0.0029,75.0056,0.092,3407.3027,117.9858,0,dimer
769,769,1.0226,0.0399,1.4475,0.0098,66.635,0.2434,2718.9773,118.1589,0,monomer
773,773,1.0757,0.0559,1.4305,0.0108,72.2821,0.2324,2847.3909,118.4787,0,monomer
774,774,1.0321,0.0589,1.4392,0.0147,73.3955,0.1616,3253.7694,118.6918,0,monomer
775,775,1.0311,0.0467,1.4301,0.0139,66.7198,0.117,3177.9781,118.7118,0,monomer
777,777,1.0503,0.0274,1.4419,0.0058,52.6845,0.148,820.0839,118.9583,0,monomer
778,778,1.0178,0.0316,1.4433,0.0088,73.3641,0.3222,3115.9155,119.1381,0,monomer
781,781,1.835,0.0442,1.3925,0.0046,83.4953,0.2612,3129.2274,119.7976,0,dimer
783,783,1.0631,0.0315,1.4305,0.0048,59.8075,0.2625,2180.427,120.064,0,monomer
784,784,1.946,0.0494,1.4137,0.006,56.9525,0.173,1688.5809,120.1306,0,dimer
785,785,1.0673,0.0103,1.443,0.0033,64.5393,0.2214,2638.6885,120.2306,0,monomer
786,786,1.0432,0.0249,1.4363,0.0062,76.8256,0.1999,2932.6008,120.3505,0,monomer
787,787,1.1321,0.0418,1.4227,0.0056,67.5141,0.1543,2644.5996,120.4637,0,monomer
788,788,1.0057,0.0683,1.4533,0.0154,65.3578,0.1999,2471.5975,120.6469,0,monomer
791,791,1.1388,0.0333,1.4284,0.007,62.6637,0.2072,2270.6147,121.3763,0,monomer
795,795,1.0267,0.0226,1.4409,0.0063,60.7509,0.2151,2353.9525,122.069,0,monomer
796,796,1.8664,0.031,1.3723,0.001,69.2174,0.4029,2993.0656,122.3888,0,dimer
797,797,1.8585,0.0188,1.3722,0.001,83.7292,0.3095,2557.0935,122.5553,1,dimer
798,798,1.0383,0.0522,1.3747,0.0069,67.0075,0.2516,2550.758,122.8084,1,extra
799,799,0.9894,0.0259,1.4491,0.0053,75.1206,0.2103,2865.8436,122.895,0,monomer
801,801,1.7142,0.0394,1.3762,0.0037,57.8756,0.3038,2058.1042,123.1615,1,dimer
802,802,1.7164,0.0449,1.4082,0.0046,85.5163,0.2313,2753.7333,123.288,0,dimer
803,803,1.395,0.0483,1.4193,0.0119,74.4497,0.2428,3077.1843,123.5811,0,dimer
804,804,0.9937,0.0296,1.4464,0.0119,68.1645,0.2307,4039.8085,123.8809,0,monomer
805,805,1.0726,0.0435,1.4321,0.0079,77.846,0.3397,4623.7045,124.1373,0,monomer
806,806,1.0995,0.0228,1.4275,0.0048,65.6901,0.3265,3895.4568,124.154,0,monomer
807,807,1.8926,0.3884,1.4321,0.2487,65.3663,3.5162,3437.4696,124.6036,1,dimer
808,808,0.999,0.0498,1.441,0.0162,62.6687,0.2723,2887.5885,124.6736,0,monomer
810,810,0.7941,0.2017,1.3655,0.0128,56.0091,0.1777,1685.1046,124.7402,1,extra
811,811,1.0566,0.0263,1.4299,0.0056,62.9721,0.2579,2831.0128,124.7468,0,monomer
813,813,1.0443,0.021,1.434,0.0069,57.0604,0.1538,1599.0232,125.0532,0,monomer
814,814,1.0629,0.0646,1.4195,0.0119,86.0159,0.1705,3027.577,125.1598,1,monomer
815,815,1.0674,0.1026,1.4077,0.0331,96.0068,0.2142,1500.9341,125.2597,0,extra
816,816,1.0308,0.012,1.4343,0.0031,67.3761,0.3297,3044.33,125.5995,0,monomer
817,817,0.7089,0.0688,1.3745,0.0056,54.8572,0.2131,1311.3019,125.6328,1,extra
818,818,1.0185,0.0561,1.428,0.0173,86.181,0.261,2753.6412,125.726,0,monomer
819,819,1.111,0.0298,1.4199,0.0083,89.5297,0.2198,2669.3659,125.8792,0,monomer
820,820,1.1155,0.0294,1.425,0.0072,79.9701,0.2573,3510.7281,125.9525,0,monomer
822,822,1.1013,0.0095,1.4251,0.0016,81.9398,0.2282,3246.8937,126.0191,0,monomer
823,823,1.1436,0.0104,1.4226,0.0033,87.149,0.2298,3091.9728,126.2256,1,monomer
824,824,1.1008,0.0298,1.4226,0.0045,62.9818,0.1576,3099.2148,126.2756,0,monomer
825,825,0.9883,0.0855,1.4538,0.0134,93.3986,0.2487,2070.5741,126.3455,0,monomer
827,827,1.9672,0.1219,1.3769,0.0141,62.2387,0.4052,2767.2239,126.6186,1,dimer
829,829,1.0216,0.0269,1.452,0.0104,73.9347,0.1581,3231.2163,126.9783,0,monomer
